address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities1,skills_required,matched_score,skills_text
,"Innovative programmer with analytical problem-solving skills and 2-year IT internship experience. Demonstrated proficiency in diverse computer programs, including SMS/SQL, Ethernet, VPN, SSH, VoIP, HTML, PHP, ASP, and XML. Looking to design technical initiatives and automate solutions for organizational efficiency, productivity, and profitability.","['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking']",['Brown University'],['Bachelor of Science'],['2020'],['3.8'],['GPA'],"['Computer Science, Cybersecurity']","['Security Benefit', 'Textron Inc.']","[None, None]","['Nov 2019', 'Dec 2018']","['May 2020', 'Jun 2019']","[['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking'], ['So ware Development', 'Information Technology', 'Complex Problem Solving', 'Analytical Thinking']]","['Information Technology Support', 'Information Technology Intern']","['N/A', 'N/A']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.85,"Analytical Thinking, Complex Problem Solving, Information Technology, So ware Development."
,"I am a recent graduate who is interested and fascinated by Machine learning. I want to join this industry and be a part of it, learn and contribute towards both the growth of the company and me as an Individuals in terms of skills.","['Machine Learning', 'Deep Learning', 'Neural Networks', 'ML Algorithms', 'Python', 'NumPy', 'Scikit Learn', 'Matplotlib', 'Keras', 'Pandas', 'TensorFlow', 'Seaborn', 'Java', 'ReactJS', 'NodeJS']","['KTM College, Nashik (affiliated with Lucknow University)', 'SPP University, Pune']","['B.Sc', 'MCA']","['2019', '2021']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Computers']",['E-Novate Labs'],['N/A'],['Aug 2020'],['Dec 2020'],"[['Neural Networks', 'Machine Learning', 'Image recognition']]",['Intern Trainee'],['N/A'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,,,,,,"['N/A', 'N/A']","[['Python Programming'], ['Python Programming']]","[None, None]","[None, None]","[None, None]",Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,Age at least 22 years,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",0.85,"Deep Learning, Java, Keras, ML Algorithms, Machine Learning, Matplotlib, Neural Networks, NodeJS, NumPy, Pandas, Python, ReactJS, Scikit Learn, Seaborn, TensorFlow."
"Greer, SC",,"['Computer System Building and Repair', 'Hardware and Software Installation', 'Diagnostic Software Utilities', 'Remote Access', 'Networking', 'Computer Management', 'CNNs', 'LSTMs', 'PyTorch']",['Bob Jones University'],['B.S.'],['2018'],['3.8'],['GPA'],['Computer Science'],"['Collins Aerospace', 'Aeronix Inc.', 'Netalytics']","['N/A', 'N/A', 'N/A']","['December 2020', 'November 2019', 'June 2018']","['current', 'December 2020', 'November 2019']","[['System and Network Procurement', 'Installation', 'Administration', 'Security', 'Troubleshooting', 'Machine Learning'], ['Deep Learning', 'Computer Vision', 'Algorithm Design', 'Machine Learning Models', 'Data Quality Evaluation'], ['Problem Analysis', 'Troubleshooting', 'System Tracking', 'Communication', 'Inventory Management']]","['Computer Scientist', 'Machine Learning Scientist', 'Entry-Level Computer Support Specialist']","['Remote', 'Greenville, SC', 'Greer, SC']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,,,,,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.65,"CNNs, Computer Management, Computer System Building and Repair, Diagnostic Software Utilities, Hardware and Software Installation, LSTMs, Networking, PyTorch, Remote Access."
,,"['Marketing', 'Sales', 'Budgets', 'Promotional', 'And Marketing', 'Sales And', 'Aviation', 'Class', 'Comprehensive Large Array Data Stewardship System', 'Excellent Multitasker', 'Simultaneous', 'Teaching', 'Training', 'Accounts And', 'Advertising', 'Branding', 'Community Outreach', 'From Sales', 'Its', 'Managed Sales', 'Of Sales', 'Public Relations', 'Increase', 'Administrative Support', 'Audit', 'Budgeting', 'Cost Control', 'Executive Assistant', 'For Selling', 'Ordering', 'Relationship Management', 'Scheduling', 'Selling And', 'Accountable For', 'Business Development', 'Clients', 'Forecasting', 'Implemented Sales', 'Key Accounts', 'Maintenance', 'Market Trends', 'Networking', 'Sale And', 'Sales Forecasting', 'Sales Objectives', 'Sales Strategies', 'Strategic Planning', 'The Sale', 'The Sales', 'Direct Marketing', 'Marketing Plan', 'Overall Sales', 'Project Development', 'Sales Plan', 'Energetic', 'Fundraising', 'Highly Organized', 'Mac', 'Quicken', 'San', 'Self Motivated', 'Storage Area Network', 'Very Organized', 'Finance', 'Shipping']","['CITY UNIVERSITY BUSINESS SCHOOL', 'THE UNIVERSITY OF HULL']","['MSc', 'BA (Honors)']","['1990', '1989']","[None, None]","[None, None]","['Shipping, Trade and Finance', 'French and Italian']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['April 2007', 'October 2006', 'March 1994', 'January 1991']","['Current', 'March 2008', 'July 2001', 'December 1994']","[['Business Development', 'Teaching', 'Translation', 'Marketing', 'Sales', 'Networking', 'Strategic Planning'], ['Sales', 'Marketing', 'Strategic Planning', 'Direct Marketing'], ['Sales', 'Marketing', 'Budgeting', 'Client Management', 'Branding'], ['Administrative Support', 'Cost Control', 'Budgeting', 'Audit']]","['Business Development Manager', 'Sales and Marketing Manager', 'VP Sales and Marketing', 'Executive Assistant']","['City, State', 'City', 'City', 'City']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",['Fundraising'],"[""School's PTA""]",[None],['1st VP of Fundraising'],"['English', 'French', 'Italian', 'Greek']","['Fluent', 'Fluent', 'Fluent', 'Fluent']",['PTA'],[None],[None],[None],[None],DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.576666667,"Accountable For, Accounts And, Administrative Support, Advertising, And Marketing, Audit, Aviation, Branding, Budgeting, Budgets, Business Development, Class, Clients, Community Outreach, Comprehensive Large Array Data Stewardship System, Cost Control, Direct Marketing, Energetic, Excellent Multitasker, Executive Assistant, Finance, For Selling, Forecasting, From Sales, Fundraising, Highly Organized, Implemented Sales, Increase, Its, Key Accounts, Mac, Maintenance, Managed Sales, Market Trends, Marketing, Marketing Plan, Networking, Of Sales, Ordering, Overall Sales, Project Development, Promotional, Public Relations, Quicken, Relationship Management, Sale And, Sales, Sales And, Sales Forecasting, Sales Objectives, Sales Plan, Sales Strategies, San, Scheduling, Self Motivated, Selling And, Shipping, Simultaneous, Storage Area Network, Strategic Planning, Teaching, The Sale, The Sales, Training, Very Organized."
,Data Engineer who is experienced with Text Analytics and Natural Language Processing. I have also worked on Big Data Analytics using hadoop,"['Machine learning', 'Data science', 'PowerBI', 'Data visualisation', 'Data Mining', 'Data Modelling', 'Data Extraction', 'Text Analysis', 'Natural Language Processing']",['JIoT Belemundi'],['B.Tech'],['2019'],['N/A'],['N/A'],['N/A'],['Invictus Qualis'],['N/A'],['Nov 2019'],['Till date'],"[['Big Data Analysis', 'Prediction', 'Residual Normality', 'knowledge-based results extraction']]",['N/A'],['N/A'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['Workshop'],['Dome Enterprises'],['N/A'],['N/A'],,,,,,,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.85,"Data Extraction, Data Mining, Data Modelling, Data science, Data visualisation, Machine learning, Natural Language Processing, PowerBI, Text Analysis."
,To secure a position that will allow me to exercise skills obtained through education and prior work experiences.,"['Quality Assurance', 'Testing', 'Access', 'Qa', 'Cases', 'Database', 'Regression Testing', 'Visual Basic', 'Client/server', 'Clients', 'Integration', 'Integration Testing', 'Integrator', 'Lotus Notes', 'Microsoft Windows', 'Ms Access', 'Ms Visual Basic', 'Printing', 'Software Quality Assurance', 'Windows 95', 'Electrical Engineering', 'Documentation', 'Network Protocols', 'Oracle', 'Proposals', 'Sql', 'Unix', 'Qa Test', 'Test Plan', 'Test Cases', 'Application Analysis', 'Application Support', 'Automated Test Scripts', 'Basis', 'Billing', 'Business Process Management', 'C++', 'Contracts', 'Dispatching', 'Issues Management', 'Logistics', 'Maintenance', 'Maintenance Repair', 'Planning Modules', 'Process Management', 'Qa Testing', 'Scheduling', 'Staff Training', 'Strategic Planning', 'Systems Support', 'Telephony', 'Test Scripts', 'Training', 'Graphical User Interface', 'Gui', 'Wireless', 'Black Box', 'Usability', 'Adt', 'Api', 'Application Development', 'Pocket Pc', 'System Administration', 'Systems Administration', 'Telephones', 'Voice', 'Wap', 'Retail', 'Retail Marketing', 'Team Lead', 'Architecture', 'Database Systems', 'Design Review', 'Engineer', 'Quality Engineer', 'Software Quality Engineer', 'Test Plans', 'White Box', 'White Box Testing', 'Black Box Testing', 'Data Acquisition', 'Databases', 'Db2', 'Dbase', 'Dbase Iv', 'Excellent Verbal And Written Communication Skills', 'Ftp', 'Ieee', 'Internet Explorer', 'Ipx', 'Java', 'Javascript', 'Linux', 'Ms Office', 'Netbeui', 'Netscape', 'Networking', 'New Products', 'Novell', 'Operations', 'Problem Solving', 'Rdbms', 'San', 'Software Development', 'Software Testing', 'Solutions', 'Storage Area Network', 'Structured Software', 'System Integration', 'Tcp', 'Tcp/ip', 'Virtual Machine', 'Visual Test', 'Vm', 'Assurance Analyst', 'Automated Testing', 'Back End', 'Data Integrity', 'Dos', 'Encryption', 'Exchange', 'File', 'Invoice', 'Lan', 'Ms Exchange', 'Ms-dos', 'Progress', 'Security', 'Business Intelligence', 'Collection', 'Data Collection', 'Data Mining', 'Data Warehousing', 'E-business', 'Embedded Systems', 'Html', 'Inspections', 'Inventory', 'Qa Engineering', 'Real Time', 'Real Time Embedded', 'Real Time Embedded Systems', 'Shipping', 'Wireless Data']","['National Education Center', 'Kensington Training Program', 'Technion University']","['Minor', 'Testing Computer Software', 'BS']","['N/A', 'N/A', '1993']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['Management', 'N/A', 'Electrical Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['March 2001', 'May 2000', 'November 1998', 'February 1998', 'September 1997', 'March 1993']","['July 2001', 'February 2001', 'May 2000', 'November 1998', 'February 1998', 'September 1997']","[['QA', 'Software Quality', 'Testing', 'HTML', 'Embedded Systems', 'Wireless Data Networks'], ['QA', 'Software Quality', 'Software Analysis', 'UNIX', 'Oracle', 'SQL', 'Network Protocols'], ['QA', 'Customer Care', 'Service Applications', 'UNIX', 'Oracle', 'SQL', 'C++'], ['QA', 'Distributed Systems', 'Windows NT'], ['QA', 'Electronic Invoice Presentment', 'Windows NT', 'Visual Basic', 'Access'], ['QA', 'Day-Timer Organizer', 'Windows 95', 'MS Access', 'MS Visual Basic']]","['QA Engineering Team Lead', 'Quality Assurance Engineering Manager', 'QA Lead for Customer Care/Service Applications', 'Mail - Software Quality Engineer II', 'Senior Quality Assurance Analyst', 'Software Quality Assurance']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,,,,,,,,,,,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.843333333,"Access, Adt, Api, Application Analysis, Application Development, Application Support, Architecture, Assurance Analyst, Automated Test Scripts, Automated Testing, Back End, Basis, Billing, Black Box, Black Box Testing, Business Intelligence, Business Process Management, C++, Cases, Client/server, Clients, Collection, Contracts, Data Acquisition, Data Collection, Data Integrity, Data Mining, Data Warehousing, Database, Database Systems, Databases, Db2, Dbase, Dbase Iv, Design Review, Dispatching, Documentation, Dos, E-business, Electrical Engineering, Embedded Systems, Encryption, Engineer, Excellent Verbal And Written Communication Skills, Exchange, File, Ftp, Graphical User Interface, Gui, Html, Ieee, Inspections, Integration, Integration Testing, Integrator, Internet Explorer, Inventory, Invoice, Ipx, Issues Management, Java, Javascript, Lan, Linux, Logistics, Lotus Notes, Maintenance, Maintenance Repair, Microsoft Windows, Ms Access, Ms Exchange, Ms Office, Ms Visual Basic, Ms-dos, Netbeui, Netscape, Network Protocols, Networking, New Products, Novell, Operations, Oracle, Planning Modules, Pocket Pc, Printing, Problem Solving, Process Management, Progress, Proposals, Qa, Qa Engineering, Qa Test, Qa Testing, Quality Assurance, Quality Engineer, Rdbms, Real Time, Real Time Embedded, Real Time Embedded Systems, Regression Testing, Retail, Retail Marketing, San, Scheduling, Security, Shipping, Software Development, Software Quality Assurance, Software Quality Engineer, Software Testing, Solutions, Sql, Staff Training, Storage Area Network, Strategic Planning, Structured Software, System Administration, System Integration, Systems Administration, Systems Support, Tcp, Tcp/ip, Team Lead, Telephones, Telephony, Test Cases, Test Plan, Test Plans, Test Scripts, Testing, Training, Unix, Usability, Virtual Machine, Visual Basic, Visual Test, Vm, Voice, Wap, White Box, White Box Testing, Windows 95, Wireless, Wireless Data."
,To obtain a challenging position in a professional and dynamic environment while utilizing my skills and experience to further my career in accounting.,"['account reconciliation', 'accounting', 'accounts payable', 'accruals', 'accrual', 'balance sheet', 'Balance', 'balance sheets', 'bank reconciliation', 'benefits', 'billing', 'budgeting', 'COBOL', 'Computer Programming', 'corporate accounting', 'credit', 'dialysis', 'documentation', 'senior management', 'expense reports', 'finance', 'financial', 'financial reports', 'financial statements', 'fixed assets', 'general ledger', 'insurance', 'letters', 'Access', 'Excel', 'money', 'PowerPoint', 'Word', 'month-end closing', 'month end close', 'primary care', 'processes', 'profit and loss', 'real estate', 'reporting', 'sales', 'SAP', 'settlements', 'tax', 'taxes', 'treasury', 'year-end']","['Gujarat University', 'Triton College in River Grove, IL']","['Master degree', 'N/A']","['N/A', '1']","['N/A', 'N/A']","['N/A', 'N/A']","['Accounting', 'Computer Programming in COBOL language']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None]","['March 2001', 'April 1999', 'June 1996', 'July 1992', 'September 1991', 'September 1988', 'June 1984']","['Current', 'March 2001', 'April 1999', 'June 1996', 'July 1992', 'October 1990', 'September 1988']","[['account reconciliation', 'accounting', 'accounts payable', 'balance sheet', 'senior management', 'financial', 'financial reports', 'financial statements', 'SAP', 'treasury'], ['budgeting', 'bank reconciliation', 'financial', 'financial reports', 'financial statements', 'tax'], ['accounting', 'bank reconciliation', 'financial statements', 'general ledger', 'real estate', 'tax'], ['insurance', 'documentation', 'primary care'], ['credit', 'balances'], ['billing', 'credit'], ['account reconciliation', 'accounts payable', 'adjustments', 'balances']]","['Accountant', 'Accountant', 'Staff Accountant/ Lease Administrator', 'Assistant Claim Approver', 'Proof Operator', 'Billing Associate', 'Account Receivable Clerk']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,,,,,,,,,,,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,Age at least 22 years,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support","Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",0.75,"Access, Balance, COBOL, Computer Programming, Excel, PowerPoint, SAP, Word, account reconciliation, accounting, accounts payable, accrual, accruals, balance sheet, balance sheets, bank reconciliation, benefits, billing, budgeting, corporate accounting, credit, dialysis, documentation, expense reports, finance, financial, financial reports, financial statements, fixed assets, general ledger, insurance, letters, money, month end close, month-end closing, primary care, processes, profit and loss, real estate, reporting, sales, senior management, settlements, tax, taxes, treasury, year-end."
"Hanover, NH","With solid JavaScript and Visual Studio Code knowledge, I'm seeking a web developer position at Enfield Technologies. Looking to apply these skills to enhance the company's digital presence and assist in developing state-of-the-art web applications.","['JavaScript', 'Visual Studio Code', 'Git', 'TensorFlow', 'Selenium (automated testing)', 'Docker']","['Dartmouth College', 'Dartmouth College']","['M.S.', 'B.S.']","['2023', '2021']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Computer Science']","['Mascoma Bank', 'Hypertherm']","[None, None]","['November 2022', 'September 2021']","['current', 'September 2022']","[['Visual Studio Code', 'JavaScript', 'Selenium'], []]","['Technical Support', 'Office Assistant']","['Hanover, NH', 'Hanover, NH']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.65,"Docker, Git, JavaScript, Selenium (automated testing), TensorFlow, Visual Studio Code."
,"Machine learning Enthusiast. Motivated to learn, grow and excel my experience by challenging myself.","['Machine Learning', 'Text Analytics', 'Software Development', 'Data Analysis', 'Python', 'Java', 'JavaScript', 'Matplotlib']","['Dr. Nidhiram Goyal Engineering College, Murshidabad']",['B.Tech'],['2020'],['N/A'],['N/A'],['CSE'],['RNT Laboratories'],['N/A'],['Apr 2019'],['Jun 2019'],"[['Machine Learning', 'Data Analysis']]",['Intern Trainee'],['N/A'],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",['N/A'],['N/A'],['N/A'],['Data Science With Python'],,,,,,,,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.35,"Data Analysis, Java, JavaScript, Machine Learning, Matplotlib, Python, Software Development, Text Analytics."
,Fresher python developer interested in data analytics and machine learning.,"['Machine Learning', 'Data processing', 'Data visualization', 'Deep Learning', 'SQL', 'Python Programming', 'PyCharm', 'Django']",['Heramba Chandra College'],['B.Tech'],['2020'],['N/A'],['N/A'],['CSE'],['DKB Innovations'],['N/A'],['Jun 2019'],['Jan 2020'],[['Python Programming']],['Python Intern'],['N/A'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",['Course'],['N/A'],['N/A'],['Statistics in Python'],,,,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.35,"Data processing, Data visualization, Deep Learning, Django, Machine Learning, PyCharm, Python Programming, SQL."
